Address,Lat,Long,Description,Link
48 Little Curran Street NORTH MELBOURNE VIC 3051,-37.7916714,144.9438724,Alterations and painting (artwork) of the existing dwelling,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=190480
24 Curran Street NORTH MELBOURNE VIC 3051,-37.792016,144.943825,Partial demolition to the rear of the existing dwelling and the construction of two dwellings on the lot with a reduction in the car parking requirement.,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=190306
133 Errol Street NORTH MELBOURNE VIC 3051,-37.8017435,144.9495593,"Partial demolition, and construction of alterations and additions to the existing dwelling",http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=190319
243-251 Flemington Road NORTH MELBOURNE VIC 3051,-37.793292,144.9467834,Demolition of the building,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=190233
288-294 Macaulay Road NORTH MELBOURNE VIC 3051,-37.794851,144.936673,Construction and display of business identification signs,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=190243
48 Arden Street NORTH MELBOURNE VIC 3051,-37.800856,144.950643,External painting of the existing dwellings facade,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=190252
78 Molesworth Street NORTH MELBOURNE VIC 3051,-37.796807,144.947652,External painting of the existing buildings facade,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=190147
68-74 Courtney Street NORTH MELBOURNE VIC 3051,-37.800461,144.952573,Construction of a five storey building with basement and reduction of car parking requirements,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=190091
668 Queensberry Street NORTH MELBOURNE VIC 3051,-37.80228,144.94521,Replace and extend the existing pergola,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=190027
61 Chetwynd Street NORTH MELBOURNE VIC 3051,-37.804642,144.95191,"Partial demolition of the existing dwelling and the construction of a two-storey extension, including a two-storey garage",http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=189973
193 Flemington Road NORTH MELBOURNE VIC 3051,-37.795083,144.948424,Internally illuminated sign design modification,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=189879
2 Little Baillie Street NORTH MELBOURNE VIC 3051,-37.801096,144.9465181,Installation of 12 solar panels to the roof of the existing dwelling,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=189924
544 Queensberry Street NORTH MELBOURNE VIC 3051,-37.802632,144.949163,Demolition of rear toilet,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=189790
379-411 Flemington Road NORTH MELBOURNE VIC 3051,-37.7887607,144.9411257,Construction and display of an internally illuminated business identification sign,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=189742
43-45 Errol Street NORTH MELBOURNE VIC 3051,-37.803964,144.949037,Construction of an ATM machine and construction and display of an internally illuminated under awning business identification sign,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=189662
2-4 Curzon Street NORTH MELBOURNE VIC 3051,-37.804637,144.948143,External painting to the existing building with erection of signage,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=189663
4-18 Brougham Street NORTH MELBOURNE VIC 3051,-37.793435,144.946295,Construction of alterations to the northern fence,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=189612
90 Howard Street NORTH MELBOURNE VIC 3051,-37.802852,144.954531,Proposed attic in the existing roof space and the addition of two skylights to the existing roof,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=189204
7-9 Courtney Street NORTH MELBOURNE VIC 3051,-37.802636,144.954473,Proposed attic in the existing roof space and the addition of two skylights to the existing roof,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=189204
81-83 Flemington Road NORTH MELBOURNE VIC 3051,-37.798771,144.953164,"Demolition of existing buildings, construction of a multi storey storey mixed use development comprising retail premises (excluding hotel, tavern, gambling premises, landscape gardening supplies, manufacturing sales, market, motor vehicle, boat or caravan sales, primary produce sales and trade supplies) and dwellings, reduction in car parking requirements and waiver of loading facilities",http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=188822
85 Flemington Road NORTH MELBOURNE VIC 3051,-37.79873,144.953067,"Demolition of existing buildings, construction of a multi storey storey mixed use development comprising retail premises (excluding hotel, tavern, gambling premises, landscape gardening supplies, manufacturing sales, market, motor vehicle, boat or caravan sales, primary produce sales and trade supplies) and dwellings, reduction in car parking requirements and waiver of loading facilities",http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=188822
26 Little Cobden Street NORTH MELBOURNE VIC 3051,-37.8042038,144.9571198,"Partial demolition, alterations to the existing dwelling and construction of a new dwelling to the rear",http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=188839
33 Cobden Street NORTH MELBOURNE VIC 3051,-37.804473,144.957137,"Partial demolition, alterations to the existing dwelling and construction of a new dwelling to the rear",http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=188839
45 Little Baillie Street NORTH MELBOURNE VIC 3051,-37.8009983,144.9474897,Construction of a 3 storey dwelling.,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=188626
2 McCabe Place NORTH MELBOURNE VIC 3051,-37.7902369,144.9418578,Alterations and additions to the existing dwelling including partial demolition,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=188627
"Unit 3, 329 Flemington Road NORTH MELBOURNE VIC 3051",-37.791505,144.943888,Extension of a dwelling,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=188543
327-329 Flemington Road NORTH MELBOURNE VIC 3051,-37.791505,144.943888,Extension of a dwelling,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=188543
288-294 Macaulay Road NORTH MELBOURNE VIC 3051,-37.794851,144.936673,Display of signage and flags,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=188545
41-45 Boundary Road NORTH MELBOURNE VIC 3051,-37.794319,144.938672,"Change of use to an office, restaurant and recreational area, buildings and works to carry out external alterations, construction and display of business identification signs and reduction in car parking and bicycle facilities requirements",http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=188421
24 Molesworth Street NORTH MELBOURNE VIC 3051,-37.797808,144.948997,Partial demolition and external alterations to replace existing front verandah,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=188351
424 Victoria Street NORTH MELBOURNE VIC 3051,-37.805185,144.951915,"Use of the site as a medical centre (massage centre), the construction and display of an internally-illuminated business identification sign and a waiver of car parking requirements",http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=188271
233 Abbotsford Street NORTH MELBOURNE VIC 3051,-37.801784,144.945358,Construction and display of business identification sign,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=188185
16 Baillie Street NORTH MELBOURNE VIC 3051,-37.801255,144.947286,Use of the premises for office and warehouse and a reduction in the car parking and loading requirements,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=188203
65-67 Errol Street NORTH MELBOURNE VIC 3051,-37.80355,144.949215,"Alterations and additions to the existing building, a waiver of the car parking requirement associated with the use of the first floor as a medical centre and external painting in accordance with the endorsed plans.",http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=188218
16 Carroll Street NORTH MELBOURNE VIC 3051,-37.795749,144.946044,Partial demolition and alterations and a first floor addition to the existing dwelling,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=188225
19-35 Flemington Road NORTH MELBOURNE VIC 3051,-37.800685,144.955188,Removal of all easements on volume 7949 folio 107 shown hatched on the plan of removal of easement,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=188138
2-6 Glass Street NORTH MELBOURNE VIC 3051,-37.801895,144.949339,"Increase the number of dwellings from 8 to 9, construction of two new  roof decks, a new garage entrance and modifications to the proposed materials",http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=188083
68-82 Leveson Street NORTH MELBOURNE VIC 3051,-37.802482,144.95171,Demolition of the existing building and construction of a four storey residential building and a five storey residential building in accordance with the endorsed plans.,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=187890
47 Chapman Street NORTH MELBOURNE VIC 3051,-37.796988,144.948745,Rendering of the external walls of the dwelling,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=187845
520-528 Victoria Street NORTH MELBOURNE VIC 3051,-37.8051287,144.9490237,"Use and develop the land for shops, offices, dwellings and a partial waiver of the car parking requirement in accordance with the attached endorsed plans",http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=187775
53 Chapman Street NORTH MELBOURNE VIC 3051,-37.796865,144.948642,Creation of carriageway easement.,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=187643
447 Dryburgh Street NORTH MELBOURNE VIC 3051,-37.794588,144.944693,External painting of the dwelling,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=187670
48 Canning Street NORTH MELBOURNE VIC 3051,-37.79558,144.942197,Partial demoliton and construction of first floor alterations and additions to the existing dwelling.,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=187677
49 Erskine Street NORTH MELBOURNE VIC 3051,-37.794902,144.943173,To remove and replace existing side and rear fence,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=187517
139-145 Chetwynd Street NORTH MELBOURNE VIC 3051,-37.8023404,144.9526485,"Demolition of the existing building, construction of a five-storey residential apartment building and provision of car parking in excess of the Schedule to Clause 52.06",http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=187527
286-288 Victoria Street NORTH MELBOURNE VIC 3051,-37.805741,144.956812,"Use of ground floor as shop, waiver of car parking requirements, minor building works and construction and display of business identification signs",http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=187182
280-282 Victoria Street NORTH MELBOURNE VIC 3051,-37.805757,144.956982,Retrospective approval of external painting of buildings,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=187185
280-282 Victoria Street NORTH MELBOURNE VIC 3051,-37.805757,144.956982,Construction of advertising signs,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=187187
544 Queensberry Street NORTH MELBOURNE VIC 3051,-37.802632,144.949163,Two lot subdivision in accordance with PS714616D,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=187094
11 Mattinglys Lane NORTH MELBOURNE VIC 3051,-37.8026217,144.9492669,Two lot subdivision in accordance with PS714616D,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=187094
32-34 Leveson Street NORTH MELBOURNE VIC 3051,-37.80401,144.951266,Construction of a retractable awning at the second level of the building,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=187012
592 Queensberry Street NORTH MELBOURNE VIC 3051,-37.8026071,144.9476424,Installation of a front gate,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=187014
520-528 Victoria Street NORTH MELBOURNE VIC 3051,-37.8051287,144.9490237,"Use and develop the land for five (5) shops, offices, nine (9) residential dwellings and a partial waiver of the car parking requirement, in accordance with the attached endorsed plans",http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=186852
453 Dryburgh Street NORTH MELBOURNE VIC 3051,-37.794443,144.944619,Amendment to the conditions,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=186884
74-78 Lothian Street NORTH MELBOURNE VIC 3051,-37.801357,144.945123,Installation of a split-sytem air-conditoner with roof-mounted unit.,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=186795
104-110 Haines Street NORTH MELBOURNE VIC 3051,-37.798435,144.943628,Development of two four storey buildings for 10 dwellings in accordance with the endorsed plans,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=186849
112 Haines Street NORTH MELBOURNE VIC 3051,-37.798252,144.94341,Development of two four storey buildings for 10 dwellings in accordance with the endorsed plans,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=186849
25-27 Lothian Street NORTH MELBOURNE VIC 3051,-37.80347,144.94413,Paintwork to the facade of the existing building,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=186777
38 Stawell Street NORTH MELBOURNE VIC 3051,-37.803089,144.94315,Extend existing dwelling.,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=186778
73-77 Leveson Street NORTH MELBOURNE VIC 3051,-37.8025151,144.9508898,To display advetising signage.,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=186681
2A Erskine Lane NORTH MELBOURNE VIC 3051,-37.794555,144.946483,Partial demolition and construction of alterations and additions to an existing dwelling,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=186423
17 Curran Street NORTH MELBOURNE VIC 3051,-37.792699,144.943595,Installation of skylight hatches to the existing roof,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=186353
5-7 Provost Street NORTH MELBOURNE VIC 3051,-37.802217,144.94757,Demolition of existing buildings and construction of a new three storey mulit-dwelling development.,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=186358
9 Provost Street NORTH MELBOURNE VIC 3051,-37.802205,144.947458,Demolition of existing buildings and construction of a new three storey mulit-dwelling development.,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=186358
453 Dryburgh Street NORTH MELBOURNE VIC 3051,-37.794443,144.944619,Amendment to the conditions,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=186020
116 Errol Street NORTH MELBOURNE VIC 3051,-37.802275,144.950204,Use of the goround floor as an office,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=185634
424 Victoria Street NORTH MELBOURNE VIC 3051,-37.805185,144.951915,"Use of the site as a medical centre (massage parlour), the construction and display of business identification signage and a waiver of car parking requirements",http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=185479
20-28 Trafalgar Place NORTH MELBOURNE VIC 3051,-37.804734,144.949915,Construction of frame and associated minor structures on roof terrace,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=185303
676 Victoria Street NORTH MELBOURNE VIC 3051,-37.804264,144.943705,"Partial demolition, external alterations and painting of the existing dwelling",http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=185189
116 Errol Street NORTH MELBOURNE VIC 3051,-37.802275,144.950204,Display of business identification signage,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=184897
19-35 Flemington Road NORTH MELBOURNE VIC 3051,-37.800685,144.955188,"Demolition of the existing building, use of site for shops and public car park and construction of a new building",http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=184848
23-35 Blackwood Street NORTH MELBOURNE VIC 3051,-37.800685,144.955188,"Demolition of the existing building, use of site for shops and public car park and construction of a new building",http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=184848
520-528 Victoria Street NORTH MELBOURNE VIC 3051,-37.8051287,144.9490237,"To Resubdivide Lot 14 on PS512344M to create new lots 14A, 14B and 14C.",http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=184725
1 Shiel Street NORTH MELBOURNE VIC 3051,-37.7983156,144.9437291,"Use and development of land for a six-storey mixed-use building comprising 22 apartments and office space, reduction of car parking requirements and waiving of loading requirements",http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=184584
58 Arden Street NORTH MELBOURNE VIC 3051,-37.8007393,144.9496539,Construction of a folding door and entry to the existing back fence including partial demolition,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=184486
60-96 Macaulay Road NORTH MELBOURNE VIC 3051,-37.798306,144.942501,"To use the site as a Medical Centre, waive car and bicycle parking requirements and construction of entry stairs",http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=184427
129-133 Leveson Street NORTH MELBOURNE VIC 3051,-37.800769,144.951243,Partial demolition and additions to rear of an existing dwelling on a lot less than 300 square metres in a Residential 1 Zone and in a Heritage Overlay,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=184310
135-139 Arden Street NORTH MELBOURNE VIC 3051,-37.80074,144.94544,"Demolition of the existing buildings on site and the construction of two four storey buildings with basement comprising of 57 dwellings, the use of part of the ground floor for a shop/office,  a reduction in the car parking provision and waiver of loading for shop/office",http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=184202
269-275 Abbotsford Street NORTH MELBOURNE VIC 3051,-37.8009036,144.945659,"Demolition of the existing buildings on site and the construction of two four storey buildings with basement comprising of 57 dwellings, the use of part of the ground floor for a shop/office,  a reduction in the car parking provision and waiver of loading for shop/office",http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=184202
265-267 Abbotsford Street NORTH MELBOURNE VIC 3051,-37.801035,144.945496,"Demolition of the existing buildings on site and the construction of two four storey buildings with basement comprising of 57 dwellings, the use of part of the ground floor for a shop/office,  a reduction in the car parking provision and waiver of loading for shop/office",http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=184202
261-263 Abbotsford Street NORTH MELBOURNE VIC 3051,-37.801126,144.945481,"Demolition of the existing buildings on site and the construction of two four storey buildings with basement comprising of 57 dwellings, the use of part of the ground floor for a shop/office,  a reduction in the car parking provision and waiver of loading for shop/office",http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=184202
250-252 Errol Street NORTH MELBOURNE VIC 3051,-37.797159,144.9508215,Partial demolition and construction of external alterations and additions including a single storey extension,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=184206
110-114 Errol Street NORTH MELBOURNE VIC 3051,-37.8022288,144.9496787,Change of use from dwelling to office and reduction in car parking requirement,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=184208
249 Abbotsford Street NORTH MELBOURNE VIC 3051,-37.801418,144.945427,Partial demolition and construction of a dwelling to the rear of the existing building,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=183952
26-32 Baillie Street NORTH MELBOURNE VIC 3051,-37.801219,144.946987,Six (6) lot land subdivison,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=183955
5-7 Stawell Street NORTH MELBOURNE VIC 3051,-37.803788,144.942502,Increase in number of dwellings; increase parking provision,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=183866
9-13 Stawell Street NORTH MELBOURNE VIC 3051,-37.803642,144.942529,Increase in number of dwellings; increase parking provision,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=183866
126 Curzon Street NORTH MELBOURNE VIC 3051,-37.800477,144.948845,Partial demolition and construction of alterations and additoons to the rear of the existing dwelling,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=183878
33-35 Little Baillie Street NORTH MELBOURNE VIC 3051,-37.8011184,144.947411,Amend condition 1 a) to read 'no part of the building is to exceed 10.5 metres when measured from the footpath at the centre of Arden Street and Little Baillie Street',http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=183785
552-568 Victoria Street NORTH MELBOURNE VIC 3051,-37.804826,144.9473357,Works to internal foyer including addition of a lift,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=183796
128 Curzon Street NORTH MELBOURNE VIC 3051,-37.800443,144.948852,Partial demolition and construction of alterations and additions to the rear of the existing dwelling,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=183824
91 Courtney Street NORTH MELBOURNE VIC 3051,-37.8000063,144.9510396,"Partial demolition and construction of alterations and additions to existing dwelling, including construction of a roller door",http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=183678
18 Lothian Street NORTH MELBOURNE VIC 3051,-37.803433,144.944657,Four lot subdivision in accordance with PS646846M.,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=183507
18A Lothian Street NORTH MELBOURNE VIC 3051,-37.803433,144.944657,Four lot subdivision in accordance with PS646846M.,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=183507
19 Little Lothian Street South NORTH MELBOURNE VIC 3051,-37.8031182,144.9449144,Four lot subdivision in accordance with PS646846M.,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=183507
18 Lothian Street NORTH MELBOURNE VIC 3051,-37.803433,144.944657,Four lot subdivision in accordance with PS646846M.,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=183507
19A Little Lothian Street South NORTH MELBOURNE VIC 3051,-37.801763,144.945031,Four lot subdivision in accordance with PS646846M.,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=183507
121-151 Langford Street NORTH MELBOURNE VIC 3051,-37.796048,144.936437,Use of the land as  a private carpark with associated works,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=183386
153-185 Langford Street NORTH MELBOURNE VIC 3051,-37.796048,144.936437,Use of the land as  a private carpark with associated works,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=183386
25-29 Provost Street NORTH MELBOURNE VIC 3051,-37.802172,144.946869,Demolition of existing brick warehouse and construction of 4 three-storey townhouses,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=183309
Kira Apartments 179 Boundary Road NORTH MELBOURNE VIC 3051,-37.7890824,144.9400419,Erect and display a flood-lit major promotion sky sign on the roof of the building,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=183310
570-578 Victoria Street NORTH MELBOURNE VIC 3051,-37.80454,144.947069,Construction and display of an internally illuminated sign,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=183226
682 Queensberry Street NORTH MELBOURNE VIC 3051,-37.8024241,144.9446368,Construction of two apartments; multi use corner shop / take-away and waiver of parking,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=182857
15-17 Racecourse Road NORTH MELBOURNE VIC 3051,-37.78978,144.94132,"Demolition of existing building and carrying out buildings and works for the construction of a multi level building for use as retail premise and residential dwellings with associated reduction to car parking requirement, and alteration to existing access to a Road Zone",http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=182781
126-128 Dryburgh Street NORTH MELBOURNE VIC 3051,-37.8036436,144.9438159,Installation of a ballustrade to deck area,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=182541
359 Dryburgh Street NORTH MELBOURNE VIC 3051,-37.797336,144.944197,Partial demolition and additions to the existing dwelling,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=182387
8 Mattinglys Lane NORTH MELBOURNE VIC 3051,-37.8026217,144.9492669,"Demolition of chimney, external painting of the existing building and replacement of gates",http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=182259
33-35 Little Baillie Street NORTH MELBOURNE VIC 3051,-37.8011184,144.947411,Subdivision of two (2) lots and create easement. This is to be a staged subdivision.,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=182321
